State,Year,Fine Particulate Matter (µg/m≥),Avg Fine Particulate Matter (µg/m≥)
North Carolina,2010.0,7.0,6.93
North Carolina,2010.0,8.0,8.01
North Carolina,2010.0,9.0,8.99
North Carolina,2010.0,10.0,10.07
North Carolina,2010.0,11.0,10.95
North Carolina,2010.0,12.0,11.96
North Carolina,2010.0,13.0,13.0
North Carolina,2010.0,14.0,13.91
North Carolina,2010.0,15.0,14.92
North Carolina,2010.0,16.0,15.96
North Carolina,2010.0,17.0,16.96
North Carolina,2010.0,18.0,18.06
North Carolina,2010.0,19.0,18.9
North Carolina,2010.0,20.0,20.08
North Carolina,2010.0,21.0,20.83
North Carolina,2010.0,22.0,21.9
North Carolina,2010.0,23.0,23.02
North Carolina,2010.0,24.0,24.14
North Carolina,2010.0,26.0,26.35
North Carolina,2010.0,27.0,26.58
North Carolina,2010.0,,12.61
North Carolina,2011.0,1.0,0.81
North Carolina,2011.0,2.0,1.74
North Carolina,2011.0,3.0,3.35
North Carolina,2011.0,4.0,3.92
North Carolina,2011.0,5.0,5.02
North Carolina,2011.0,6.0,6.0
North Carolina,2011.0,7.0,6.99
North Carolina,2011.0,8.0,7.94
North Carolina,2011.0,9.0,8.93
North Carolina,2011.0,10.0,10.03
North Carolina,2011.0,11.0,10.97
North Carolina,2011.0,12.0,11.92
North Carolina,2011.0,13.0,12.99
North Carolina,2011.0,14.0,13.86
North Carolina,2011.0,15.0,14.93
North Carolina,2011.0,16.0,15.91
North Carolina,2011.0,17.0,16.95
North Carolina,2011.0,18.0,17.89
North Carolina,2011.0,19.0,18.92
North Carolina,2011.0,20.0,19.9
North Carolina,2011.0,21.0,20.93
North Carolina,2011.0,22.0,21.98
North Carolina,2011.0,23.0,22.89
North Carolina,2011.0,24.0,23.99
North Carolina,2011.0,25.0,24.89
North Carolina,2011.0,26.0,25.93
North Carolina,2011.0,27.0,27.3
North Carolina,2011.0,28.0,27.74
North Carolina,2011.0,,12.36
North Carolina,,,12.97
,,,12.97
